index,fullpathname,classname,library,label,layer_number
69,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\pop3\Pop3Store.java,Pop3Store,k9mail-library,Service Provider,3.2.2.
70,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\AlertResponse.java,AlertResponse,k9mail-library,Service Provider,3.2.2.
71,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\Capabilities.java,Capabilities,k9mail-library,Information Holder,3.2.2.
72,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\CapabilityResponse.java,CapabilityResponse,k9mail-library,Service Provider,3.2.2.
73,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\Commands.java,Commands,k9mail-library,Information Holder,3.4.
74,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\FetchBodyCallback.java,FetchBodyCallback,k9mail-library,Service Provider,3.2.2.
75,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\FetchPartCallback.java,FetchPartCallback,k9mail-library,Coordinator,3.2.2.
76,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\FolderNameCodec.java,FolderNameCodec,k9mail-library,Service Provider,3.4.
77,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\IdGrouper.ContiguousIdGroup.java,ContiguousIdGroup,k9mail-library,Information Holder,3.4.
78,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\IdGrouper.GroupedIds.java,GroupedIds,k9mail-library,Information Holder,3.4.
79,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\IdGrouper.java,IdGrouper,k9mail-library,Structurer,3.4.
80,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapCommandSplitter.java,ImapCommandSplitter,k9mail-library,Structurer,3.4.
81,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapConnection.java,ImapConnection,k9mail-library,Service Provider,3.2.2.
82,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapFolder.java,ImapFolder,k9mail-library,Structurer,3.4.
83,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapFolderPusher.IdleStopper.java,IdleStopper,k9mail-library,Service Provider,3.2.2.
84,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapFolderPusher.PushRunnable.java,PushRunnable,k9mail-library,Controller,3.2.2.
85,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapFolderPusher.java,ImapFolderPusher,k9mail-library,Controller,3.2.2.
86,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapList.java,ImapList,k9mail-library,Structurer,3.4.
87,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapMessage.java,ImapMessage,k9mail-library,Structurer,3.4.
88,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapPushState.java,ImapPushState,k9mail-library,Service Provider,3.2.2.
89,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapPusher.java,ImapPusher,k9mail-library,Service Provider,3.2.2.
90,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapResponse.java,ImapResponse,k9mail-library,Information Holder,3.4.
91,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapResponseCallback.java,ImapResponseCallback,k9mail-library,Service Provider,3.2.2.
92,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapResponseParser.java,ImapResponseParser,k9mail-library,Service Provider,3.2.2.
93,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapResponseParserException.java,ImapResponseParserException,k9mail-library,Information Holder,3.4.
94,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapSearcher.java,ImapSearcher,k9mail-library,Service Provider,3.2.2.
95,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapSettings.java,ImapSettings,k9mail-library,Information Holder,3.4.
96,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapStore.StoreImapSettings.java,StoreImapSettings,k9mail-library,Information Holder,3.4.
97,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapStore.java,ImapStore,k9mail-library,Structurer,3.4.
98,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapStoreSettings.java,ImapStoreSettings,k9mail-library,Information Holder,3.4.
99,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapStoreUriCreator.java,ImapStoreUriCreator,k9mail-library,Service Provider,3.2.2.
100,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapStoreUriDecoder.java,ImapStoreUriDecoder,k9mail-library,Service Provider,3.2.2.
101,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ImapUtility.java,ImapUtility,k9mail-library,Service Provider,3.2.2.
102,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ListResponse.java,ListResponse,k9mail-library,Service Provider,3.2.2.
103,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\NamespaceResponse.java,NamespaceResponse,k9mail-library,Service Provider,3.2.2.
104,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\NegativeImapResponseException.java,NegativeImapResponseException,k9mail-library,Information Holder,3.4.
105,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\PermanentFlagsResponse.java,PermanentFlagsResponse,k9mail-library,Service Provider,3.2.2.
106,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\ResponseCodeExtractor.java,ResponseCodeExtractor,k9mail-library,Service Provider,3.2.2.
